,id,true,hb,err[%]
776,776,347.3333,361.9670,4.2132
777,777,330.5000,346.2910,4.7779
778,778,317.0000,324.8134,2.4648
779,779,261.0833,270.5664,3.6322
780,780,260.0000,263.8620,1.4854
781,781,262.1667,268.3558,2.3608
782,782,304.2667,323.3571,6.2742
783,783,305.3667,318.6926,4.3639
784,784,267.6833,271.1165,1.2825
785,785,288.7000,318.4153,10.2928
786,786,321.6667,337.8031,5.0165
787,787,281.7500,297.9050,5.7338
788,788,0.0000,0.0000,0.0000
789,789,329.7000,334.8395,1.5588
790,790,0.0000,0.0000,0.0000
791,791,281.5500,303.9937,7.9715
792,792,293.7333,302.1472,2.8644
793,793,250.3833,263.0208,5.0472
794,794,227.7000,236.5805,3.9001
795,795,259.4500,262.4234,1.1460
796,796,305.2000,308.2608,1.0029
797,797,287.7500,303.7957,5.5763
798,798,0.0000,0.0000,0.0000
799,799,322.2500,331.6522,2.9177
800,800,283.4333,305.8813,7.9200
801,801,284.1667,293.7573,3.3750
802,802,0.0000,0.0000,0.0000
803,803,309.8667,312.0765,0.7132
804,804,302.3833,327.5743,8.3308
805,805,282.6167,294.8638,4.3335
806,806,280.0167,283.9271,1.3965
807,807,311.6000,338.6027,8.6658
808,808,0.0000,0.0000,0.0000
809,809,371.2500,384.5464,3.5815
810,810,273.6333,299.2271,9.3533
811,811,313.9167,320.4917,2.0945
812,812,377.5000,377.4137,0.0229
813,813,290.0500,294.4504,1.5171
814,814,288.7833,305.8660,5.9154
815,815,320.6000,354.9273,10.7072
816,816,325.5333,320.7171,1.4795
817,817,276.9333,267.8353,3.2853
818,818,345.9167,366.0749,5.8275
819,819,273.6500,276.3923,1.0021
820,820,435.0000,453.7263,4.3049
821,821,304.2000,315.4630,3.7025
822,822,338.4167,346.9112,2.5101
823,823,297.4500,301.8493,1.4790
824,824,259.1333,270.5664,4.4121
825,825,261.0333,272.3829,4.3480
826,826,338.7500,349.8992,3.2913
827,827,261.1000,262.4234,0.5069
828,828,361.4167,374.2415,3.5485
829,829,232.4167,238.8108,2.7511
830,830,240.4667,256.0928,6.4983
831,831,250.6500,253.2757,1.0475
832,832,335.0833,341.9971,2.0633
833,833,326.0000,336.7309,3.2917
834,834,296.3333,272.3732,8.0855
835,835,290.0833,283.9869,2.1016
836,836,252.7500,257.1188,1.7285
837,837,295.8333,272.3732,7.9302
838,838,250.5833,261.0609,4.1813
839,839,269.8167,273.3297,1.3020
840,840,350.3333,353.7814,0.9842
841,841,280.6167,277.9480,0.9510
842,842,295.5833,319.1573,7.9754
843,843,216.2333,227.3200,5.1272
844,844,276.7667,267.8353,3.2271
845,845,341.2833,356.6722,4.5091
846,846,0.0000,0.0000,0.0000
847,847,338.4000,349.2014,3.1919
848,848,289.4667,290.8640,0.4827
849,849,301.0833,307.4717,2.1218
850,850,281.6167,292.7380,3.9491
851,851,293.7333,307.4015,4.6533
852,852,273.6833,290.0005,5.9621
853,853,286.3500,298.5836,4.2722
854,854,326.0667,333.3899,2.2459
855,855,307.8333,315.2026,2.3939
856,856,392.0833,375.7829,4.1574
857,857,329.1667,346.2886,5.2016
858,858,0.0000,0.0000,0.0000
859,859,389.8333,380.8055,2.3158
860,860,315.3167,301.9881,4.2270
861,861,231.2833,239.6256,3.6070
862,862,233.0167,247.6713,6.2891
863,863,0.0000,0.0000,0.0000
864,864,267.6833,271.1165,1.2825
865,865,288.6833,304.2015,5.3755
866,866,294.7500,313.7841,6.4577
867,867,303.0500,311.0939,2.6543
868,868,293.0000,312.7391,6.7369
869,869,273.0833,271.4528,0.5971
870,870,269.2000,277.1824,2.9652
871,871,251.8333,260.2724,3.3511
872,872,320.4167,342.2873,6.8257
873,873,256.8833,263.8620,2.7167
874,874,269.2000,277.1824,2.9652
875,875,0.0000,0.0000,0.0000
876,876,202.4000,206.7116,2.1302
877,877,336.4167,355.4590,5.6603
878,878,269.5000,265.8687,1.3474
879,879,0.0000,0.0000,0.0000
880,880,353.7500,363.1794,2.6656
881,881,273.7167,272.3829,0.4873
882,882,314.1667,327.6348,4.2869
883,883,303.6000,314.2329,3.5023
884,884,256.5500,274.9724,7.1808
885,885,291.3833,306.1930,5.0825
886,886,267.5333,272.3439,1.7981
887,887,272.8667,289.1358,5.9623
888,888,256.5500,266.1905,3.7577
889,889,287.9167,287.9606,0.0152
890,890,293.7333,300.3261,2.2445
891,891,276.6667,268.8887,2.8113
892,892,341.7500,364.0245,6.5178
893,893,256.2500,258.2598,0.7843
894,894,256.5000,269.9936,5.2606
895,895,278.8500,265.8761,4.6526
896,896,357.9167,376.1811,5.1030
897,897,259.7500,269.1600,3.6227
898,898,247.8333,262.0310,5.7287
899,899,265.9500,272.3439,2.4042
900,900,353.3333,336.1618,4.8599
901,901,0.0000,0.0000,0.0000
902,902,284.2000,306.6871,7.9124
903,903,265.3000,275.7143,3.9255
904,904,251.2500,268.8887,7.0204
905,905,234.4333,247.6725,5.6473
906,906,316.1667,335.3361,6.0631
907,907,297.2333,310.9838,4.6262
908,908,316.4333,312.3834,1.2799
909,909,320.7833,332.2853,3.5856
910,910,260.0167,277.1824,6.6018
911,911,292.4833,315.5698,7.8933
912,912,270.8000,269.7123,0.4017
913,913,327.6167,332.8920,1.6102
914,914,331.1667,338.0134,2.0675
915,915,242.0000,252.6383,4.3960
916,916,189.2095,196.3632,3.7808
917,917,321.8167,323.1672,0.4197
918,918,331.5833,332.8871,0.3932
919,919,307.7167,313.8072,1.9793
920,920,226.2833,243.5184,7.6166
921,921,309.8167,316.6070,2.1917
922,922,335.7833,348.5562,3.8039
923,923,263.4833,272.3829,3.3777
924,924,314.6667,349.8086,11.1680
925,925,309.7167,312.6169,0.9364
926,926,308.5000,317.0693,2.7777
927,927,283.4667,277.8995,1.9640
928,928,282.7000,299.7320,6.0248
929,929,281.1333,272.3732,3.1160
930,930,308.4000,337.3987,9.4029
931,931,319.1500,349.6309,9.5506
932,932,406.7500,403.8248,0.7192
933,933,299.4000,307.6144,2.7436
934,934,293.0667,294.6160,0.5287
935,935,265.4000,278.7357,5.0247
936,936,308.9167,322.9716,4.5497
937,937,303.7500,330.9240,8.9462
938,938,255.1333,269.4345,5.6054
939,939,274.7000,274.6649,0.0128
940,940,293.7667,302.8465,3.0908
941,941,0.0000,0.0000,0.0000
942,942,226.2833,243.5184,7.6166
943,943,0.0000,0.0000,0.0000
944,944,0.0000,0.0000,0.0000
